token	corpus size	all contexts size	frequency	co-frequency	specificity
speed	52874	29555	132	118	16.38
pollution	52874	29555	47	44	7.98
that	52874	29555	388	269	7.79
adj	52874	29555	30	30	7.58
traffic	52874	29555	148	114	7.37
n	52874	29555	40	37	6.42
could	52874	29555	45	40	5.80
visible	52874	29555	68	56	5.56
red	52874	29555	100	77	5.24
year	52874	29555	45	39	5.08
travel	52874	29555	55	46	5.02
hearted	52874	29555	19	19	4.80
l	52874	29555	28	26	4.70
is	52874	29555	606	385	4.67
box	52874	29555	23	22	4.55
see	52874	29555	69	54	4.22
edit	52874	29555	37	32	4.22
blue	52874	29555	53	43	4.13
LED	52874	29555	56	45	4.11
sources	52874	29555	25	23	4.05
a	52874	29555	1320	794	3.82
frequency	52874	29555	15	15	3.79
of	52874	29555	1877	1114	3.78
green	52874	29555	80	60	3.72
years	52874	29555	71	54	3.67
exposure	52874	29555	14	14	3.54
to	52874	29555	1152	691	3.36
northern	52874	29555	13	13	3.28
adjective	52874	29555	13	13	3.28
Old	52874	29555	21	19	3.19
natural	52874	29555	17	16	3.17
wave	52874	29555	49	38	3.05
was	52874	29555	181	120	2.98
as	52874	29555	332	210	2.96
than	52874	29555	106	74	2.95
white	52874	29555	23	20	2.87
designed	52874	29555	29	24	2.77
make	52874	29555	41	32	2.74
b	52874	29555	38	30	2.73
beam	52874	29555	58	43	2.72
intensity	52874	29555	15	14	2.72
jpg	52874	29555	22	19	2.68
the	52874	29555	2722	1570	2.60
give	52874	29555	31	25	2.58
eyes	52874	29555	18	16	2.57
impact	52874	29555	10	10	2.53
reactions	52874	29555	10	10	2.53
archdaily	52874	29555	10	10	2.53
about	52874	29555	91	63	2.52
seeing	52874	29555	14	13	2.49
first	52874	29555	61	44	2.43
or	52874	29555	298	185	2.34
travels	52874	29555	20	17	2.30
c	52874	29555	20	17	2.30
something	52874	29555	32	25	2.28
English	52874	29555	32	25	2.28
me	52874	29555	23	19	2.28
transmit	52874	29555	9	9	2.27
word	52874	29555	9	9	2.27
slow	52874	29555	9	9	2.27
pigments	52874	29555	9	9	2.27
audio	52874	29555	9	9	2.27
more	52874	29555	128	84	2.22
through	52874	29555	72	50	2.20
can	52874	29555	201	127	2.19
galaxy	52874	29555	16	14	2.17
heavy	52874	29555	16	14	2.17
such	52874	29555	74	51	2.15
emission	52874	29555	19	16	2.12
See	52874	29555	28	22	2.12
heart	52874	29555	28	22	2.12
amber	52874	29555	28	22	2.12
not	52874	29555	106	70	2.07
use	52874	29555	78	53	2.05
noun	52874	29555	8	8	2.02
zombie	52874	29555	8	8	2.02
pronounce	52874	29555	8	8	2.02
verb	52874	29555	8	8	2.02
lit	52874	29555	30	23	1.99
emit	52874	29555	15	13	1.97
minutes	52874	29555	27	21	1.97
source	52874	29555	38	28	1.95
over	52874	29555	46	33	1.95
material	52874	29555	18	15	1.94
built	52874	29555	18	15	1.94
by	52874	29555	300	181	1.85
second	52874	29555	45	32	1.84
electric	52874	29555	11	10	1.84
outdoor	52874	29555	11	10	1.84
range	52874	29555	14	12	1.78
place	52874	29555	14	12	1.78
faster	52874	29555	20	16	1.78
less	52874	29555	20	16	1.78
in	52874	29555	953	547	1.77
four	52874	29555	17	14	1.77
body	52874	29555	17	14	1.77
particular	52874	29555	17	14	1.77
replaced	52874	29555	7	7	1.77
powered	52874	29555	7	7	1.77
Adjective	52874	29555	7	7	1.77
then	52874	29555	31	23	1.76
many	52874	29555	36	26	1.72
from	52874	29555	265	159	1.70
into	52874	29555	81	53	1.70
produce	52874	29555	25	19	1.68
bright	52874	29555	33	24	1.68
how	52874	29555	51	35	1.67
little	52874	29555	22	17	1.65
yellow	52874	29555	22	17	1.65
BUTTON	52874	29555	73	48	1.65
transparent	52874	29555	10	9	1.63
passing	52874	29555	10	9	1.63
structures	52874	29555	10	9	1.63
eating	52874	29555	10	9	1.63
Middle	52874	29555	10	9	1.63
matter	52874	29555	19	15	1.62
prism	52874	29555	16	13	1.60
emitted	52874	29555	16	13	1.60
reduce	52874	29555	13	11	1.60
sleep	52874	29555	13	11	1.60
cycle	52874	29555	13	11	1.60
A	52874	29555	141	87	1.59
for	52874	29555	334	196	1.58
three	52874	29555	24	18	1.55
His	52874	29555	24	18	1.55
travelled	52874	29555	6	6	1.52
velocity	52874	29555	6	6	1.52
bending	52874	29555	6	6	1.52
orange	52874	29555	6	6	1.52
Related	52874	29555	6	6	1.52
feet	52874	29555	6	6	1.52
coming	52874	29555	6	6	1.52
installations	52874	29555	6	6	1.52
Search	52874	29555	6	6	1.52
cost	52874	29555	6	6	1.52
rhythm	52874	29555	6	6	1.52
efficient	52874	29555	6	6	1.52
walls	52874	29555	6	6	1.52
removed	52874	29555	6	6	1.52
Range	52874	29555	6	6	1.52
The	52874	29555	361	209	1.50
different	52874	29555	44	30	1.50
are	52874	29555	313	182	1.48
types	52874	29555	18	14	1.47
human	52874	29555	26	19	1.47
time	52874	29555	75	48	1.46
has	52874	29555	70	45	1.45
modern	52874	29555	15	12	1.44
help	52874	29555	15	12	1.44
so	52874	29555	65	42	1.43
world	52874	29555	23	17	1.42
defined	52874	29555	9	8	1.42
rotation	52874	29555	9	8	1.42
constant	52874	29555	9	8	1.42
given	52874	29555	9	8	1.42
Planck	52874	29555	9	8	1.42
coherent	52874	29555	9	8	1.42
mounted	52874	29555	9	8	1.42
Smartphone	52874	29555	9	8	1.42
construction	52874	29555	9	8	1.42
tower	52874	29555	9	8	1.42
uses	52874	29555	12	10	1.42
characteristic	52874	29555	12	10	1.42
boxes	52874	29555	12	10	1.42
traditional	52874	29555	12	10	1.42
any	52874	29555	28	20	1.40
color	52874	29555	28	20	1.40
t	52874	29555	55	36	1.40
control	52874	29555	33	23	1.40
it	52874	29555	268	155	1.40
used	52874	29555	106	65	1.38
objects	52874	29555	20	15	1.38
large	52874	29555	20	15	1.38
By	52874	29555	20	15	1.38
traveling	52874	29555	20	15	1.38
distance	52874	29555	45	30	1.37
only	52874	29555	45	30	1.37
we	52874	29555	64	41	1.37
waves	52874	29555	64	41	1.37
out	52874	29555	78	49	1.37
with	52874	29555	289	165	1.36
lamps	52874	29555	25	18	1.35
be	52874	29555	219	127	1.35
energy	52874	29555	66	42	1.35
up	52874	29555	73	46	1.35
your	52874	29555	73	46	1.35
one	52874	29555	98	60	1.33
One	52874	29555	17	13	1.33
process	52874	29555	17	13	1.33
include	52874	29555	17	13	1.33
Einstein	52874	29555	17	13	1.33
still	52874	29555	17	13	1.33
lenses	52874	29555	37	25	1.31
million	52874	29555	22	16	1.30
both	52874	29555	22	16	1.30
also	52874	29555	79	49	1.30
related	52874	29555	14	11	1.28
why	52874	29555	14	11	1.28
boundary	52874	29555	14	11	1.28
head	52874	29555	14	11	1.28
disambiguation	52874	29555	5	5	1.26
understood	52874	29555	5	5	1.26
Plant	52874	29555	5	5	1.26
fireflies	52874	29555	5	5	1.26
denser	52874	29555	5	5	1.26
numerous	52874	29555	5	5	1.26
simultaneously	52874	29555	5	5	1.26
allowed	52874	29555	5	5	1.26
situation	52874	29555	5	5	1.26
filament	52874	29555	5	5	1.26
monochromatic	52874	29555	5	5	1.26
Faster	52874	29555	5	5	1.26
entry	52874	29555	5	5	1.26
reps	52874	29555	5	5	1.26
home	52874	29555	5	5	1.26
healthy	52874	29555	5	5	1.26
Definition	52874	29555	5	5	1.26
producing	52874	29555	5	5	1.26
UV	52874	29555	5	5	1.26
fluorescent	52874	29555	5	5	1.26
knowledge	52874	29555	5	5	1.26
recipes	52874	29555	5	5	1.26
electricity	52874	29555	5	5	1.26
concentrated	52874	29555	5	5	1.26
turns	52874	29555	5	5	1.26
operation	52874	29555	5	5	1.26
displayed	52874	29555	5	5	1.26
reflector	52874	29555	5	5	1.26
Verb	52874	29555	5	5	1.26
oht	52874	29555	5	5	1.26
Words	52874	29555	5	5	1.26
idiom	52874	29555	5	5	1.26
keepers	52874	29555	5	5	1.26
modal	52874	29555	5	5	1.26
takes	52874	29555	29	20	1.25
lamp	52874	29555	41	27	1.25
hours	52874	29555	11	9	1.24
fire	52874	29555	11	9	1.24
rotating	52874	29555	11	9	1.24
refractive	52874	29555	11	9	1.24
artificial	52874	29555	11	9	1.24
proposed	52874	29555	11	9	1.24
shows	52874	29555	11	9	1.24
com	52874	29555	24	17	1.24
does	52874	29555	24	17	1.24
which	52874	29555	152	88	1.24
have	52874	29555	104	62	1.23
polarization	52874	29555	8	7	1.22
intended	52874	29555	8	7	1.22
ability	52874	29555	8	7	1.22
Close	52874	29555	8	7	1.22
limit	52874	29555	8	7	1.22
sign	52874	29555	8	7	1.22
down	52874	29555	31	21	1.21
photons	52874	29555	31	21	1.21
medium	52874	29555	26	18	1.20
sound	52874	29555	26	18	1.20
Michelson	52874	29555	16	12	1.19
will	52874	29555	72	44	1.19
other	52874	29555	94	56	1.19
room	52874	29555	21	15	1.19
spectrum	52874	29555	47	30	1.18
When	52874	29555	40	26	1.18
were	52874	29555	65	40	1.18
Earth	52874	29555	49	31	1.17
all	52874	29555	78	47	1.17
signals	52874	29555	58	36	1.17
optics	52874	29555	28	19	1.16
using	52874	29555	35	23	1.16
theory	52874	29555	51	32	1.15
electromagnetic	52874	29555	23	16	1.14
distances	52874	29555	13	10	1.14
last	52874	29555	13	10	1.14
beams	52874	29555	13	10	1.14
special	52874	29555	13	10	1.14
area	52874	29555	13	10	1.14
words	52874	29555	13	10	1.14
bulb	52874	29555	13	10	1.14
when	52874	29555	102	59	1.13
along	52874	29555	18	13	1.13
lighting	52874	29555	83	49	1.12
much	52874	29555	39	25	1.11
For	52874	29555	39	25	1.11
What	52874	29555	61	37	1.11
This	52874	29555	80	47	1.10
direction	52874	29555	34	22	1.08
having	52874	29555	20	14	1.08
colour	52874	29555	20	14	1.08
technology	52874	29555	20	14	1.08
known	52874	29555	56	34	1.08
her	52874	29555	10	8	1.08
Toggle	52874	29555	10	8	1.08
humans	52874	29555	10	8	1.08
don	52874	29555	10	8	1.08
South	52874	29555	10	8	1.08
vehicles	52874	29555	10	8	1.08
far	52874	29555	15	11	1.07
experiment	52874	29555	15	11	1.07
explained	52874	29555	15	11	1.07
possible	52874	29555	15	11	1.07
LEDs	52874	29555	15	11	1.07
while	52874	29555	29	19	1.05
Fresnel	52874	29555	29	19	1.05
his	52874	29555	53	32	1.05
must	52874	29555	22	15	1.05
makes	52874	29555	22	15	1.05
two	52874	29555	59	35	1.04
some	52874	29555	65	38	1.04
if	52874	29555	44	27	1.03
allows	52874	29555	7	6	1.03
quanta	52874	29555	7	6	1.03
terms	52874	29555	7	6	1.03
Fizeau	52874	29555	7	6	1.03
pass	52874	29555	7	6	1.03
crosses	52874	29555	7	6	1.03
responsible	52874	29555	7	6	1.03
Kingdom	52874	29555	7	6	1.03
stage	52874	29555	7	6	1.03
screw	52874	29555	7	6	1.03
Save	52874	29555	7	6	1.03
get	52874	29555	33	21	1.02
billion	52874	29555	17	12	1.02
pressure	52874	29555	17	12	1.02
minute	52874	29555	4	4	1.01
trip	52874	29555	4	4	1.01
hide	52874	29555	4	4	1.01
subsection	52874	29555	4	4	1.01
Quantum	52874	29555	4	4	1.01
propagation	52874	29555	4	4	1.01
ancient	52874	29555	4	4	1.01
Mount	52874	29555	4	4	1.01
ordinary	52874	29555	4	4	1.01
scales	52874	29555	4	4	1.01
transverse	52874	29555	4	4	1.01
centuries	52874	29555	4	4	1.01
mechanical	52874	29555	4	4	1.01
worked	52874	29555	4	4	1.01
showing	52874	29555	4	4	1.01
might	52874	29555	4	4	1.01
Latin	52874	29555	4	4	1.01
Wikimedia	52874	29555	4	4	1.01
Commons	52874	29555	4	4	1.01
shaped	52874	29555	4	4	1.01
refracts	52874	29555	4	4	1.01
intense	52874	29555	4	4	1.01
concentric	52874	29555	4	4	1.01
filters	52874	29555	4	4	1.01
easier	52874	29555	4	4	1.01
tends	52874	29555	4	4	1.01
Porro	52874	29555	4	4	1.01
uniform	52874	29555	4	4	1.01
proportion	52874	29555	4	4	1.01
anywhere	52874	29555	4	4	1.01
clock	52874	29555	4	4	1.01
timing	52874	29555	4	4	1.01
causes	52874	29555	4	4	1.01
increasing	52874	29555	4	4	1.01
rectangular	52874	29555	4	4	1.01
shines	52874	29555	4	4	1.01
statutes	52874	29555	4	4	1.01
local	52874	29555	4	4	1.01
environment	52874	29555	4	4	1.01
protect	52874	29555	4	4	1.01
Find	52874	29555	4	4	1.01
industrial	52874	29555	4	4	1.01
bad	52874	29555	4	4	1.01
winter	52874	29555	4	4	1.01
advice	52874	29555	4	4	1.01
skin	52874	29555	4	4	1.01
risk	52874	29555	4	4	1.01
reducing	52874	29555	4	4	1.01
indicating	52874	29555	4	4	1.01
happy	52874	29555	4	4	1.01
street	52874	29555	4	4	1.01
Countdown	52874	29555	4	4	1.01
Yellow	52874	29555	4	4	1.01
Standard	52874	29555	4	4	1.01
rule	52874	29555	4	4	1.01
Variations	52874	29555	4	4	1.01
figure	52874	29555	4	4	1.01
button	52874	29555	4	4	1.01
beeping	52874	29555	4	4	1.01
emergency	52874	29555	4	4	1.01
racing	52874	29555	4	4	1.01
plural	52874	29555	4	4	1.01
lightness	52874	29555	4	4	1.01
shed	52874	29555	4	4	1.01
Noun	52874	29555	4	4	1.01
Browse	52874	29555	4	4	1.01
Newsletters	52874	29555	4	4	1.01
Monday	52874	29555	4	4	1.01
Tuesday	52874	29555	4	4	1.01
meals	52874	29555	4	4	1.01
diyas	52874	29555	4	4	1.01
celebrate	52874	29555	4	4	1.01
Stevenson	52874	29555	4	4	1.01
coasts	52874	29555	4	4	1.01
offshore	52874	29555	4	4	1.01
pronunciation	52874	29555	4	4	1.01
order	52874	29555	26	17	1.00
line	52874	29555	26	17	1.00
close	52874	29555	12	9	1.00
directions	52874	29555	12	9	1.00
colours	52874	29555	12	9	1.00
become	52874	29555	12	9	1.00
