token	corpus size	all contexts size	frequency	co-frequency	specificity
light	120157	30086	1669	868	124.11
speed	120157	30086	158	119	39.29
that	120157	30086	640	267	20.03
pollution	120157	30086	50	44	20.02
of	120157	30086	3554	1124	19.32
adj	120157	30086	30	30	18.05
travel	120157	30086	58	46	17.22
a	120157	30086	2461	795	16.27
LED	120157	30086	62	45	14.33
visible	120157	30086	85	55	13.92
the	120157	30086	5345	1569	13.56
traffic	120157	30086	237	113	13.56
red	120157	30086	139	76	13.20
hearted	120157	30086	19	19	11.43
years	120157	30086	92	54	11.23
than	120157	30086	145	74	10.95
blue	120157	30086	70	44	10.67
beam	120157	30086	68	43	10.57
lighting	120157	30086	83	49	10.39
is	120157	30086	1160	384	9.89
year	120157	30086	65	39	8.71
edit	120157	30086	71	41	8.44
see	120157	30086	105	54	8.39
was	120157	30086	298	119	8.25
could	120157	30086	71	40	7.84
as	120157	30086	598	208	7.60
box	120157	30086	30	22	7.47
Old	120157	30086	26	20	7.42
wave	120157	30086	68	38	7.36
designed	120157	30086	35	24	7.19
green	120157	30086	132	61	7.16
jpg	120157	30086	25	19	6.93
exposure	120157	30086	16	14	6.59
lights	120157	30086	224	89	6.33
lit	120157	30086	40	25	6.31
to	120157	30086	2342	682	6.19
waves	120157	30086	82	41	6.16
emit	120157	30086	15	13	6.05
northern	120157	30086	15	13	6.05
heart	120157	30086	34	22	5.99
in	120157	30086	1851	544	5.66
minutes	120157	30086	33	21	5.58
sources	120157	30086	38	23	5.52
second	120157	30086	64	33	5.48
seeing	120157	30086	16	13	5.45
emitted	120157	30086	16	13	5.45
adjective	120157	30086	18	14	5.44
pigments	120157	30086	9	9	5.41
bright	120157	30086	46	26	5.39
little	120157	30086	29	19	5.38
lamp	120157	30086	54	29	5.35
lighthouse	120157	30086	76	37	5.31
His	120157	30086	27	18	5.28
travels	120157	30086	25	17	5.19
first	120157	30086	101	45	5.03
intensity	120157	30086	19	14	4.98
pronounce	120157	30086	8	8	4.81
faster	120157	30086	24	16	4.76
eyes	120157	30086	24	16	4.76
such	120157	30086	119	50	4.68
it	120157	30086	466	154	4.67
