token	corpus size	all contexts size	frequency	co-frequency	specificity
la	46146	35999	2199	2094	117.17
de	46146	35999	2200	2009	64.30
des	46146	35999	963	878	27.55
La	46146	35999	418	398	22.38
est	46146	35999	637	587	21.55
les	46146	35999	696	617	13.04
que	46146	35999	267	248	10.55
par	46146	35999	334	305	10.32
sur	46146	35999	219	205	9.71
une	46146	35999	509	450	9.38
et	46146	35999	711	617	9.23
un	46146	35999	365	328	8.92
à	46146	35999	588	514	8.86
l	46146	35999	642	557	8.40
pas	46146	35999	133	127	7.82
vitesse	46146	35999	96	94	7.80
blanche	46146	35999	72	72	7.77
le	46146	35999	506	442	7.67
Ville	46146	35999	61	61	6.58
Le	46146	35999	153	142	6.29
avoir	46146	35999	57	57	6.15
polychromatique	46146	35999	57	57	6.15
Paris	46146	35999	120	113	6.03
monochromatique	46146	35999	87	84	6.01
pour	46146	35999	201	182	5.85
siècle	46146	35999	159	146	5.70
au	46146	35999	210	189	5.60
ville	46146	35999	91	87	5.59
philosophie	46146	35999	71	69	5.37
visible	46146	35999	103	97	5.26
plus	46146	35999	139	127	4.78
tous	46146	35999	81	77	4.72
on	46146	35999	131	120	4.68
Siècle	46146	35999	41	41	4.42
long	46146	35999	38	38	4.10
solaire	46146	35999	37	37	3.99
Une	46146	35999	36	36	3.88
Noël	46146	35999	36	36	3.88
inédit	46146	35999	36	36	3.88
modifier	46146	35999	36	36	3.88
spectacle	46146	35999	34	34	3.67
sont	46146	35999	137	122	3.44
onde	46146	35999	172	151	3.42
etages	46146	35999	31	31	3.34
matière	46146	35999	57	54	3.33
Lumière	46146	35999	281	240	3.32
bleue	46146	35999	30	30	3.24
fait	46146	35999	48	46	3.23
ce	46146	35999	121	108	3.21
avec	46146	35999	107	96	3.10
journal	46146	35999	28	28	3.02
Pourquoi	46146	35999	28	28	3.02
étages	46146	35999	28	28	3.02
source	46146	35999	45	43	2.96
qu	46146	35999	116	103	2.92
qui	46146	35999	206	177	2.91
Qu	46146	35999	36	35	2.88
nature	46146	35999	51	48	2.83
tout	46146	35999	51	48	2.83
nous	46146	35999	58	54	2.83
en	46146	35999	498	412	2.83
ultraviolette	46146	35999	26	26	2.80
grande	46146	35999	26	26	2.80
