token	corpus size	all contexts size	frequency	co-frequency	specificity
Естественный	12481	2576	13	13	8.92
белый	12481	2576	16	14	7.73
рассеянный	12481	2576	11	11	7.55
солнечный	12481	2576	12	11	6.57
влияет	12481	2576	14	12	6.47
холодный	12481	2576	9	9	6.17
теплый	12481	2576	8	8	5.49
основной	12481	2576	10	9	5.27
как	12481	2576	78	33	5.12
такое	12481	2576	11	9	4.63
он	12481	2576	16	11	4.41
Что	12481	2576	12	9	4.13
создается	12481	2576	6	6	4.11
Теплый	12481	2576	6	6	4.11
естественный	12481	2576	10	8	4.03
который	12481	2576	20	12	3.93
что	12481	2576	52	22	3.67
через	12481	2576	11	8	3.57
Солнечный	12481	2576	5	5	3.43
а	12481	2576	39	17	3.16
использовать	12481	2576	8	6	2.87
на	12481	2576	150	45	2.75
дает	12481	2576	6	5	2.75
Цвет	12481	2576	6	5	2.75
Лента	12481	2576	4	4	2.74
берется	12481	2576	4	4	2.74
Основной	12481	2576	4	4	2.74
яркий	12481	2576	4	4	2.74
это	12481	2576	62	22	2.56
энергия	12481	2576	9	6	2.49
почти	12481	2576	7	5	2.31
интерьере	12481	2576	19	9	2.21
про	12481	2576	10	6	2.19
чего	12481	2576	5	4	2.14
создает	12481	2576	5	4	2.14
нейтральный	12481	2576	5	4	2.14
желтый	12481	2576	5	4	2.14
Я	12481	2576	5	4	2.14
видел	12481	2576	5	4	2.14
слабый	12481	2576	3	3	2.06
Именно	12481	2576	3	3	2.06
откуда	12481	2576	3	3	2.06
Эта	12481	2576	3	3	2.06
дневной	12481	2576	3	3	2.06
видимый	12481	2576	3	3	2.06
искусственный	12481	2576	3	3	2.06
излучать	12481	2576	3	3	2.06
божий	12481	2576	3	3	2.06
юдоль	12481	2576	3	3	2.06
Часто	12481	2576	3	3	2.06
мягкий	12481	2576	3	3	2.06
лунный	12481	2576	3	3	2.06
подобранный	12481	2576	3	3	2.06
холоднее	12481	2576	3	3	2.06
Холодный	12481	2576	3	3	2.06
серотонина	12481	2576	3	3	2.06
синий	12481	2576	3	3	2.06
излучает	12481	2576	3	3	2.06
восприятие	12481	2576	3	3	2.06
задаёт	12481	2576	3	3	2.06
интерьеру	12481	2576	3	3	2.06
помогает	12481	2576	8	5	1.98
наоборот	12481	2576	6	4	1.77
должен	12481	2576	6	4	1.77
Однако	12481	2576	6	4	1.77
цвет	12481	2576	23	9	1.66
у	12481	2576	20	8	1.59
тем	12481	2576	13	6	1.58
Он	12481	2576	13	6	1.58
но	12481	2576	24	9	1.56
две	12481	2576	4	3	1.55
Его	12481	2576	4	3	1.55
Правильно	12481	2576	4	3	1.55
тон	12481	2576	4	3	1.55
его	12481	2576	40	13	1.54
видеть	12481	2576	7	4	1.50
всегда	12481	2576	7	4	1.50
нас	12481	2576	7	4	1.50
необходим	12481	2576	2	2	1.37
судья	12481	2576	2	2	1.37
лукавый	12481	2576	2	2	1.37
эпитеты	12481	2576	2	2	1.37
Ева	12481	2576	2	2	1.37
комментариев	12481	2576	2	2	1.37
даёт	12481	2576	2	2	1.37
собой	12481	2576	2	2	1.37
фотонам	12481	2576	2	2	1.37
спрашивают	12481	2576	2	2	1.37
ответ	12481	2576	2	2	1.37
случаях	12481	2576	2	2	1.37
Независимо	12481	2576	2	2	1.37
результате	12481	2576	2	2	1.37
связан	12481	2576	2	2	1.37
поведения	12481	2576	2	2	1.37
знаменитый	12481	2576	2	2	1.37
мала	12481	2576	2	2	1.37
обычный	12481	2576	2	2	1.37
желательно	12481	2576	2	2	1.37
